Time,Hour,Chance,Weekday,Weekend
6 a.m.,6,0.029,0.027,0.036
7 a.m.,7,0.045,0.047,0.038
8 a.m.,8,0.063,0.067,0.046
9 a.m.,9,0.05,0.051,0.05
10 a.m.,10,0.05,0.05,0.05
11 a.m.,11,0.05,0.05,0.049
Noon,12,0.06,0.063,0.05
1 p.m.,13,0.057,0.059,0.047
2 p.m.,14,0.051,0.053,0.046
3 p.m.,15,0.048,0.049,0.046
4 p.m.,16,0.049,0.05,0.045
5 p.m.,17,0.05,0.051,0.044
6 p.m.,18,0.045,0.047,0.041
7 p.m.,19,0.04,0.041,0.039
8 p.m.,20,0.04,0.04,0.04
9 p.m.,21,0.037,0.037,0.038
10 p.m.,22,0.035,0.034,0.037
11 p.m.,23,0.033,0.032,0.036
Midnight,0,0.029,0.026,0.038
1 a.m.,1,0.029,0.026,0.038
2 a.m.,2,0.028,0.025,0.037
3 a.m.,3,0.027,0.025,0.037
4 a.m.,4,0.027,0.025,0.036
5 a.m.,5,0.028,0.025,0.036
