father,mother,son
78.5,67.0,73.2
75.5,66.5,73.5
75.0,64.0,71.0
75.0,64.0,70.5
75.0,58.5,72.0
74.0,68.0,76.5
74.0,62.0,74.0
73.0,67.0,71.0
73.0,67.0,68.0
73.0,66.5,71.0
73.0,65.0,72.0
73.0,64.5,74.0
72.7,69.0,73.2
72.0,68.0,73.0
72.0,67.0,73.0
72.0,65.0,74.2
72.0,63.0,70.5
72.0,63.0,69.0
72.0,63.0,73.0
72.5,62.0,71.0
72.0,62.0,74.0
72.0,62.0,72.0
71.0,69.0,78.0
71.0,67.0,73.2
71.0,66.0,70.0
71.0,66.0,70.0
71.0,66.0,71.0
71.0,66.0,76.0
71.7,65.5,70.5
71.0,65.5,72.0
71.5,65.5,73.0
71.5,65.0,68.5
71.0,65.0,68.0
71.7,64.5,72.0
71.0,64.0,68.0
71.5,64.5,72.0
71.0,64.5,73.0
71.0,63.5,71.0
71.0,63.0,71.0
71.0,63.0,71.0
71.0,62.0,71.0
71.0,62.0,72.0
71.0,62.5,70.0
71.0,62.0,70.5
71.0,58.0,71.5
70.0,69.0,71.0
70.0,69.0,70.0
70.0,68.0,75.0
70.0,67.0,70.0
70.0,66.5,73.0
70.5,65.0,72.0
70.0,65.0,73.0
70.0,65.0,67.0
70.0,65.0,70.0
70.0,65.0,79.0
70.0,65.0,73.0
70.0,65.0,69.0
70.0,64.7,72.0
70.0,64.0,70.7
70.0,64.0,70.0
70.0,64.2,72.0
70.5,64.0,74.0
70.0,64.0,68.0
70.0,64.0,71.0
70.0,63.7,70.0
70.5,63.0,70.0
70.5,63.0,72.5
70.0,63.5,71.0
70.0,63.0,68.0
70.0,63.0,70.0
70.5,62.0,72.0
70.3,62.7,70.7
70.5,62.0,72.0
70.0,61.0,71.2
70.0,60.0,67.0
70.0,58.5,71.5
70.0,58.0,72.0
69.0,68.5,75.0
69.0,66.0,73.0
69.0,66.0,71.2
69.0,66.7,75.0
69.0,66.0,70.0
69.0,66.5,73.0
69.5,66.5,70.5
69.0,66.5,71.0
69.5,66.0,71.0
69.0,66.0,73.0
69.0,65.0,70.0
69.5,64.5,69.7
69.2,64.0,71.7
69.0,63.0,69.0
69.0,63.0,72.0
69.0,63.0,73.0
69.0,63.5,70.5
69.0,63.5,70.5
69.5,62.0,73.0
69.0,62.0,73.0
69.5,62.0,72.0
69.0,62.5,71.0
69.0,62.0,72.0
69.5,61.0,70.0
69.0,61.0,68.0
69.0,60.0,70.5
69.0,60.0,69.0
69.0,60.5,69.5
68.7,70.5,71.0
68.5,67.0,73.0
68.5,66.5,70.0
68.0,65.0,67.5
68.0,65.5,66.0
68.0,65.5,71.7
68.0,65.0,72.0
68.5,65.0,69.2
68.5,65.0,72.0
68.0,64.0,71.0
68.0,64.0,66.0
68.0,64.0,71.2
68.0,64.0,69.0
68.0,63.0,70.5
68.5,63.5,73.5
68.0,63.0,67.0
68.0,63.0,70.0
68.0,63.0,71.0
68.0,63.0,67.0
68.5,63.5,68.2
68.0,63.0,70.0
68.2,63.5,70.0
68.0,62.5,68.5
68.7,62.0,67.7
68.0,62.5,66.5
68.0,61.0,68.5
68.0,60.2,66.7
68.0,60.0,64.0
68.0,60.0,67.5
68.5,59.0,69.0
68.0,59.0,68.0
67.0,66.2,72.7
67.0,66.5,71.0
67.0,66.0,73.0
67.0,65.0,69.7
67.0,65.5,70.0
67.0,65.5,70.0
67.0,65.0,65.0
67.5,65.0,71.0
67.0,64.0,71.5
67.0,63.5,71.0
67.0,63.0,69.0
67.5,62.0,70.0
67.0,61.0,67.0
66.0,67.0,70.5
66.0,67.0,72.0
66.0,66.0,66.0
66.0,66.0,72.0
66.5,65.0,68.7
66.0,65.5,72.0
66.0,63.0,70.0
66.5,63.0,67.2
66.5,62.5,70.0
66.0,61.5,70.0
66.0,60.0,68.0
66.0,60.0,65.0
66.0,59.0,68.0
65.0,67.0,66.5
65.0,66.0,63.0
65.0,66.0,67.0
65.0,65.0,69.0
65.0,65.5,70.7
65.0,65.0,69.2
65.0,64.0,67.0
65.0,63.0,70.0
65.0,63.0,66.0
65.5,63.0,71.0
65.5,60.0,68.0
64.0,64.0,71.5
64.0,64.0,70.5
64.0,63.0,64.5
64.0,60.0,66.0
62.0,66.0,64.0
62.5,63.0,66.5
